timestamp(ms),acceleration_x(g),acceleration_y(g),acceleration_z(g),roll(rad),pitch(rad),yaw(rad),angular_velocity_x(rad/sec),angular_velocity_y(rad/sec),angular_velocity_z(rad/sec)
1396948626717,0.0008,0.0038,-0.0054,-0.0217,0.0018,0.0000,-0.0010,-0.0010,-0.0014
1396948626816,0.0025,-0.0047,-0.0093,-0.0216,0.0019,-0.0001,-0.0022,-0.0022,0.0023
1396948626915,-0.0001,-0.0004,-0.0074,-0.0208,0.0014,-0.0003,0.0014,0.0014,-0.0026
1396948627015,0.0027,-0.0006,-0.0054,-0.0207,0.0012,-0.0004,-0.0010,-0.0010,-0.0001
1396949160862,-0.0007,0.0350,0.0069,0.1381,0.2162,-0.0150,0.0885,0.0885,0.0309
1396949160958,0.0028,0.0369,0.0361,0.1365,0.1988,-0.0117,-0.2385,-0.2385,0.0534
1396949161058,-0.0194,0.0515,0.1533,0.1981,0.2061,0.0004,0.6941,0.6941,0.2246
1396949161157,-0.0032,0.0996,-0.0070,0.2736,0.2129,-0.0135,-0.4708,-0.4708,0.3352
1396949161257,-0.0112,-0.0464,0.0001,0.2633,0.2137,-0.0078,-0.3293,-0.3293,-0.0757
1396949161356,-0.0320,-0.0328,-0.1204,-0.0245,0.2035,-0.0274,-0.3054,-0.3054,-0.0216
1396949161455,-0.0061,0.0217,0.1117,-0.0396,0.2502,0.0004,1.3475,1.3475,-0.0664
1396949161554,0.0895,0.0346,-0.0074,-0.0960,0.3650,-0.0630,0.3763,0.3763,-0.6646
1396949161654,0.0026,-0.0478,-0.0079,-0.1281,0.4037,-0.0893,0.3106,0.3106,-0.1777
1396949161753,0.0474,0.0389,-0.0050,-0.1363,0.3891,-1.2096,-0.3665,-0.3665,-0.0035
1396949161852,-0.0050,0.0151,0.0231,-0.1641,0.4004,-1.2428,0.5125,0.5125,-0.4422
1396949161951,-0.0134,-0.1058,-0.2014,-0.2728,0.4831,-1.2760,1.2593,1.2593,-0.4237
1396949162051,-0.8792,0.1119,-0.4539,-0.6853,0.8254,-1.3441,3.8262,3.8262,-4.9292
1396949162150,1.6276,1.0892,0.2310,-0.3661,1.4229,-2.1322,2.1384,2.1384,-4.3841
1396949162251,-6.0785,0.2455,-0.5650,-0.9304,0.8622,-1.4077,-8.1388,-8.1388,6.9568
1396949162349,4.5836,1.8936,2.0273,-0.5557,1.2971,-1.9008,5.8056,5.8056,-3.9327
1396949162448,-3.8897,0.7177,-2.8416,-0.7017,0.3868,-1.3662,-9.6480,-9.6480,3.5539
1396949162548,0.2091,-0.0161,0.5511,-0.4392,0.4111,-1.4308,-0.1592,-0.1592,-0.5926
1396949162647,-0.1267,0.0399,0.0318,-0.3950,0.3875,-1.4256,0.3401,0.3401,-0.0692
1396949162747,-0.0827,0.0404,-0.0593,-0.3996,0.3805,-1.4220,0.0953,0.0953,-0.1255
1396949162846,-0.0198,0.0255,0.0585,-0.3990,0.3863,-1.4153,0.0463,0.0463,0.2132
1396949162945,-0.0331,0.0059,-0.0440,-0.3879,0.3665,-1.4240,-0.2333,-0.2333,-0.0069
1396949163044,0.1580,0.0421,0.0442,-0.4207,0.3947,-1.4533,0.3182,0.3182,-0.3863
1396949163143,0.0393,0.0268,0.0652,-0.4285,0.3942,-1.4395,-0.3609,-0.3609,0.0676
1396949163242,0.0550,-0.0078,-0.0013,-0.4668,0.3773,-1.4631,-0.0859,-0.0859,-0.7636
1396949163342,0.2442,0.0364,0.0277,-0.8617,0.6076,-1.6851,1.5662,1.5662,-1.5463
1396949163441,-0.0830,-0.0354,0.0039,-0.8769,0.7123,-1.7186,0.4351,0.4351,-0.3811
1396949163541,-0.0716,0.0061,-0.1756,-0.8379,0.6931,-1.7348,-0.0152,-0.0152,-0.1793
1396949163640,-0.0138,0.0075,0.0175,-0.8570,0.7100,-1.7193,-0.1397,-0.1397,0.0945
1396949163739,-0.0673,0.0043,0.0141,-0.8644,0.6974,-1.7157,-0.0604,-0.0604,0.1386
1396949163838,-0.0043,-0.0080,-0.0369,-0.8653,0.6873,-1.7186,-0.0503,-0.0503,-0.0297
1396949163938,-0.0014,0.0066,0.0110,-0.8351,0.6756,-1.7441,-0.1591,-0.1591,0.0853
1396949164037,0.0605,0.0016,-0.0093,-0.8315,0.6738,-1.7541,-0.1333,-0.1333,0.0211
1396949164136,-0.0345,0.0557,-0.0014,-0.8234,0.6557,-1.7657,-0.1869,-0.1869,0.0427
1396949164236,-0.0063,0.0114,-0.0251,-0.8202,0.6505,-1.7679,0.1191,0.1191,-0.0040
1396949164335,0.0540,0.0073,-0.0277,-0.8245,0.6496,-1.7655,-0.2137,-0.2137,0.0666
1396949164435,-0.0233,0.0151,-0.0586,-0.8035,0.6409,-1.7755,0.0994,0.0994,-0.0726
1396949164535,0.0357,0.0181,0.0120,-0.7939,0.6252,-1.7693,-0.1698,-0.1698,0.6480
1396949164633,-2.0709,-0.3463,-0.9519,-0.6905,1.0184,-1.9055,4.6081,4.6081,-7.6945
1396949164732,0.2511,1.3466,0.0739,1.3382,1.2840,2.2378,-0.4168,-0.4168,0.4965
1396949164831,0.5553,2.2644,0.0688,-1.0897,0.8383,-1.5998,-1.9399,-1.9399,2.1054
1396949164931,-0.1544,0.9486,-0.9866,-0.9031,1.3960,-1.8120,-0.4591,-0.4591,2.7136
1396949165030,-2.9689,1.4438,0.9379,-0.8206,0.3916,-1.4468,-6.0599,-6.0599,0.0045
1396949165129,0.2223,0.1809,0.8775,-0.6747,0.5616,-1.4699,-1.0064,-1.0064,-0.2043
1396949165229,-0.0726,0.0354,0.0783,-0.7205,0.4932,-1.4891,-0.6477,-0.6477,-0.1466
1396949165328,-0.0717,0.0413,-0.1459,-0.7340,0.4896,-1.5064,-0.0633,-0.0633,-0.3137
1396949165427,0.0068,0.0277,-0.0400,-0.7269,0.5008,-1.5337,0.1781,0.1781,-0.2561
1396949165527,0.0292,-0.0126,-0.0297,-0.7217,0.4994,-1.5446,-0.0678,-0.0678,-0.0257
1396949165626,-0.0085,0.0187,-0.0162,-0.7126,0.4991,-1.5563,-0.0781,-0.0781,-0.0777
1396949165726,0.0235,0.0077,-0.0103,-0.7024,0.4923,-1.5624,0.0565,0.0565,0.0057
1396949165825,-0.0027,0.0089,-0.0533,-0.6919,0.4840,-1.5695,-0.0965,-0.0965,-0.0515
1396949165924,-0.0048,0.0062,0.0198,-0.6930,0.4817,-1.5685,-0.1342,-0.1342,-0.0183
1396949166023,0.0300,0.0196,-0.0208,-0.6903,0.4771,-1.5704,0.0249,0.0249,0.0630
1396949166123,-0.0354,0.0040,0.0109,-0.6835,0.4725,-1.5740,-0.0649,-0.0649,-0.0105
1396949166222,0.0132,0.0167,-0.0180,-0.6779,0.4695,-1.5770,0.0088,0.0088,-0.0009
1396949166322,-0.0452,-0.0091,-0.0262,-0.6707,0.4697,-1.5815,0.0986,0.0986,-0.1200
1396949166421,-1.7573,-0.2380,-1.0681,-0.8324,0.7025,-1.6096,3.3570,3.3570,-5.5475
1396949166520,0.1024,1.1049,0.1550,0.9179,1.5187,2.6119,2.6145,2.6145,-6.9416
1396949166620,4.0773,2.6705,-0.3816,-0.5685,1.3845,-2.0381,-2.8097,-2.8097,12.4302
1396949166719,-4.6272,-0.1228,-3.3573,-1.1377,0.8460,-1.5140,3.3626,3.3626,-8.6877
1396949166818,5.4170,2.0820,0.7747,-0.8144,1.4165,-1.8313,-1.3164,-1.3164,6.2239
1396949166917,-6.0636,0.4357,-1.8715,-0.8873,0.4200,-1.4738,-2.2139,-2.2139,-4.3319
1396949167017,0.6821,0.1588,0.7649,-0.7448,0.6608,-1.4671,-0.5644,-0.5644,0.1480
1396949167116,-0.2275,0.0342,0.1811,-0.7192,0.5748,-1.4260,-0.7711,-0.7711,0.2963
1396949167215,-0.1068,0.0175,-0.1784,-0.6861,0.5266,-1.4692,0.0660,0.0660,-0.1669
1396949167315,0.0445,-0.0192,0.0309,-0.6731,0.5472,-1.4701,-0.0609,-0.0609,-0.0172
1396949167414,0.0247,0.0306,0.0186,-0.6557,0.5488,-1.4825,-0.0800,-0.0800,0.0389
1396949167513,-0.0233,0.0110,-0.1398,-0.6377,0.5359,-1.4995,0.2788,0.2788,-0.2465
1396949167612,-0.0549,0.0153,0.0621,-0.6313,0.5489,-1.4837,-0.0432,-0.0432,-0.0142
1396949167712,-0.0172,0.0143,-0.0252,-0.6261,0.5418,-1.4898,-0.0946,-0.0946,-0.0403
1396949167811,-0.0035,0.0167,0.0201,-0.6208,0.5337,-1.4906,-0.1070,-0.1070,0.0459
1396949167911,0.0088,0.0191,0.0043,-0.6145,0.5267,-1.4911,-0.1168,-0.1168,0.0627
1396949168010,0.0150,0.0096,-0.0167,-0.5972,0.5096,-1.4979,-0.1187,-0.1187,0.0846
1396949168109,-0.0251,0.0052,-0.0295,-0.5857,0.4998,-1.4992,-0.0145,-0.0145,0.0347
1396949168208,-0.0266,0.0128,-0.0275,-0.5744,0.4881,-1.4958,0.0399,0.0399,-0.0109
1396949168308,-0.0165,0.0095,0.0304,-0.5734,0.4822,-1.4917,-0.0750,-0.0750,0.0548
1396949168407,-0.0150,0.0046,0.0259,-0.5705,0.4745,-1.4978,-0.1507,-0.1507,-0.0182
1396949168507,-0.8964,0.0129,-1.0550,-0.8417,0.6131,-1.4920,3.6799,3.6799,-4.7739
1396949168606,-0.3360,0.9507,0.0604,-0.2823,1.4937,-2.4843,1.5223,1.5223,-8.2078
1396949168705,4.6365,2.1824,-0.2092,-0.4052,1.4838,-2.3173,-1.3606,-1.3606,13.3481
1396949168805,-7.1986,-0.3824,-2.0300,-1.1585,0.8954,-1.5687,2.9297,2.9297,-9.0951
1396949168905,2.9217,1.7011,0.1367,-0.3606,1.4658,-2.3301,0.1690,0.1690,4.6713
1396949169003,-6.9395,0.5953,1.0609,-1.1118,0.5273,-1.3435,-4.3301,-4.3301,-3.8721
1396949169102,0.7363,0.2038,0.5053,-0.7864,0.7594,-1.4697,-1.1086,-1.1086,0.0333
1396949169202,-0.0370,0.0046,0.2667,-0.4710,0.5734,-1.4841,-1.6028,-1.6028,0.8670
1396949169301,-0.0682,0.0258,-0.1423,-0.3590,0.4887,-1.4921,0.3171,0.3171,-0.1077
1396949169400,0.0799,-0.0181,0.0505,-0.3369,0.5289,-1.4957,0.0087,0.0087,-0.1636
1396949169499,0.0038,0.0256,-0.0041,-0.3446,0.5325,-1.4860,0.0338,0.0338,-0.1298
1396949169599,-0.0033,0.0307,-0.0001,-0.3430,0.5165,-1.4910,0.0885,0.0885,-0.0628
1396949169698,0.0232,0.0088,0.0176,-0.3356,0.5145,-1.4965,-0.0523,-0.0523,0.0381
1396949169798,-0.0141,0.0252,0.0202,-0.3217,0.5048,-1.4876,-0.0590,-0.0590,0.1550
1396949169897,-0.0637,-0.0002,-0.0238,-0.2721,0.4781,-1.5023,0.3441,0.3441,-0.6862
1396949169996,-0.0018,0.0349,-0.1676,-0.2076,0.5553,-1.6628,0.3235,0.3235,-2.0486
1396949170096,-0.0084,-0.0452,-0.0173,-0.2362,0.6857,-1.8511,0.8074,0.8074,-1.3296
1396949170195,0.0644,0.0056,-0.0039,-0.1541,0.7590,-1.9544,0.4959,0.4959,-0.4327
1396949170294,0.0805,0.0316,0.0081,-0.1433,0.8107,-1.9982,0.7694,0.7694,-0.5285
1396949170394,-0.0674,0.0000,0.0105,-0.1318,0.8432,-2.0819,0.0038,0.0038,-0.5644
1396949170493,-1.0869,-0.2121,-0.8094,-0.1692,1.0948,-2.4668,4.4716,4.4716,-6.1828
1396949170593,0.1660,0.5888,-0.0593,1.1150,1.1509,2.1398,1.5020,1.5020,-3.8928
1396949170691,1.1232,0.8987,0.2284,0.9285,1.1535,2.4199,-3.5072,-3.5072,5.7607
1396949170791,0.7869,1.5413,0.0809,-0.4664,0.6383,-1.7953,-7.1744,-7.1744,9.3592
1396949170890,-1.1081,-0.0944,-1.2767,-0.4847,0.3927,-1.5770,0.8758,0.8758,0.2915
1396949170990,-0.1695,-0.1210,-0.2032,-0.4390,0.3357,-1.5849,0.3945,0.3945,-0.2119
1396949171088,-0.0475,0.0042,-0.0299,-0.4452,0.3517,-1.5662,0.0234,0.0234,-0.0547
1396949171188,0.0051,0.0150,-0.0299,-0.4506,0.3465,-1.5560,0.0640,0.0640,0.0959
1396949171287,0.0194,0.0057,-0.0034,-0.4435,0.3459,-1.5526,-0.0401,-0.0401,0.1457
1396949171387,0.0359,0.0140,-0.0416,-0.4398,0.3299,-1.5469,0.0847,0.0847,0.0816
1396949171486,-0.0292,-0.0026,0.0133,-0.4381,0.3315,-1.5374,-0.0325,-0.0325,0.0181
1396949171585,-0.0102,0.0099,0.0275,-0.4391,0.3249,-1.5350,-0.1501,-0.1501,-0.0245
1396949171684,0.0208,0.0103,-0.0081,-0.4363,0.3178,-1.5368,0.0886,0.0886,0.0471
1396949171784,0.0125,0.0114,-0.0090,-0.4315,0.3138,-1.5395,-0.0344,-0.0344,-0.0532
1396949171883,-0.0135,-0.0013,-0.0122,-0.4186,0.3014,-1.5455,-0.1548,-0.1548,-0.0661
1396949171983,-1.4799,-0.1271,-0.5943,-0.3867,0.3558,-1.6445,0.8649,0.8649,-4.1278
1396949172082,0.2019,0.8124,-0.0137,-0.0802,0.9626,-2.5148,4.4164,4.4164,-7.5411
1396949172181,0.4100,0.4589,0.2579,0.5485,1.0818,3.1254,-0.3996,-0.3996,0.3342
1396949172281,-0.1178,-0.0083,0.0495,0.4562,1.0636,-3.0341,-0.3469,-0.3469,0.0050
1396949172380,0.0542,0.0358,-0.0708,0.4130,1.0181,-3.0119,-0.3425,-0.3425,0.0056
1396949172480,-0.0363,-0.0171,-0.0069,0.3830,1.0072,-2.9829,-0.0426,-0.0426,0.0403
1396949172579,-0.0546,-0.0188,-0.0071,0.3674,1.0054,-2.9765,-0.1361,-0.1361,-0.0109
1396949172678,0.0019,0.0358,0.0123,0.3209,0.9897,-2.9327,-0.4173,-0.4173,0.5924
1396949172777,-0.0844,0.0674,0.1805,0.0150,0.9715,-2.5022,-0.7086,-0.7086,1.6942
1396949172876,-0.2920,0.3117,-0.0859,-0.0178,0.6667,-2.1153,-4.0593,-4.0593,2.4031
1396949172976,-0.0129,0.0361,0.0341,-0.2876,0.7181,-2.0921,1.7465,1.7465,0.4434
1396949173075,0.0101,0.0143,0.0299,-0.3849,0.7824,-2.0326,0.4989,0.4989,-0.1968
1396949173175,0.0971,0.0967,0.0382,-0.2362,0.7327,-2.0402,-2.6842,-2.6842,0.4984
1396949173274,-0.1920,-0.0525,-0.1094,-0.0724,0.5307,-1.8892,-0.2611,-0.2611,0.5259
1396949173373,-0.0588,0.0244,-0.2669,-0.1131,0.5117,-1.8995,0.9910,0.9910,-0.4962
1396949173472,0.0410,0.5848,-1.5594,-0.7098,0.9316,-1.7792,9.9741,9.9741,-2.9878
1396949173571,1.5036,0.6566,3.3320,-1.7976,1.1751,-0.9473,-12.5426,-12.5426,3.9829
1396949173671,-1.3873,1.0767,-3.4456,-0.7480,0.8016,-1.9739,11.2957,11.2957,-6.0428
1396949173770,1.0204,0.4520,1.9792,-0.8815,1.0469,-1.6302,-8.8782,-8.8782,2.9623
1396949173870,0.3557,0.2758,-0.4181,-0.5313,0.8130,-1.8699,3.9816,3.9816,-0.8267
1396949173969,0.0652,-0.0059,0.0538,-0.5121,0.8113,-1.8600,-0.4419,-0.4419,0.0509
1396949174068,0.0538,0.0362,-0.1363,-0.4653,0.7682,-1.8993,-0.2380,-0.2380,0.0437
1396949174168,-0.0687,0.0001,-0.0759,-0.4499,0.7518,-1.8922,0.1213,0.1213,0.0487
1396949174268,-0.0219,0.0250,0.0526,-0.4548,0.7589,-1.8839,-0.2069,-0.2069,-0.0703
1396949174367,-0.0214,0.0239,-0.0232,-0.4408,0.7371,-1.8939,-0.0881,-0.0881,0.0419
1396949174465,-0.0083,0.0091,-0.0615,-0.4202,0.7178,-1.8991,-0.0662,-0.0662,-0.0010
1396949174565,0.0153,0.0170,0.0029,-0.3972,0.7035,-1.9105,-0.3695,-0.3695,-0.0207
1396949174665,-0.0096,0.0213,0.0140,-0.3910,0.6914,-1.9145,-0.1969,-0.1969,0.0370
1396949174763,-0.0211,-0.0000,0.0092,-0.3914,0.6846,-1.9186,-0.0722,-0.0722,-0.0753
1396949174864,0.0200,0.0072,-0.0211,-0.3932,0.6860,-1.9243,0.0370,0.0370,-0.0123
1396949174962,0.0218,0.0100,0.0047,-0.3949,0.6933,-1.8093,0.0794,0.0794,-0.0297
1396949175061,0.0435,0.0050,-0.0097,-0.4052,0.6956,-1.7485,0.0036,0.0036,0.1407
1396949175161,0.0159,0.0170,-0.0192,-0.4213,0.7070,-1.7144,0.0651,0.0651,0.0843
1396949175260,0.0079,0.0295,-0.0721,-0.4156,0.7012,-1.7045,0.0567,0.0567,0.0391
1396949175359,-0.0156,0.0048,-0.0121,-0.4130,0.6932,-1.6967,0.0749,0.0749,0.0918
1396949175459,-0.0116,-0.0102,-0.0335,-0.4279,0.6983,-1.6743,0.2747,0.2747,0.1213
1396949175558,-0.0365,-0.0156,0.0368,-0.4350,0.7044,-1.6709,-0.0075,-0.0075,-0.0884
1396949175657,0.0087,0.0317,-0.0034,-0.4292,0.7062,-1.6778,-0.0336,-0.0336,-0.0004
1396949175757,0.0090,0.0186,-0.0198,-0.4243,0.7015,-1.6753,0.0811,0.0811,0.0165
1396949175856,-0.0142,0.0033,-0.0229,-0.4209,0.6974,-1.6744,0.0670,0.0670,0.0169
1396949175956,-0.0209,-0.0022,0.0237,-0.4214,0.6949,-1.6737,-0.0530,-0.0530,0.0054
1396949176055,-0.0030,0.0170,0.0119,-0.4209,0.6932,-1.6784,-0.0654,-0.0654,-0.0093
1396949176155,0.0024,0.0119,0.0110,-0.4235,0.6865,-1.6856,-0.0964,-0.0964,-0.0185
1396949176254,-0.0304,-0.0141,-0.0272,-0.4282,0.6843,-1.6903,-0.0219,-0.0219,-0.0489
1396949176353,0.0244,0.0073,-0.0170,-0.4274,0.6796,-1.6985,-0.0366,-0.0366,-0.0035
1396949176452,0.0353,0.0023,-0.0267,-0.4134,0.6748,-1.7093,-0.0940,-0.0940,0.0438
1396949176552,0.0080,0.0177,-0.0247,-0.3935,0.6616,-1.7133,-0.0336,-0.0336,0.0776
1396949176651,-0.0093,0.0094,-0.0041,-0.3941,0.6616,-1.7016,0.0904,0.0904,0.0761
1396949176750,-0.0237,-0.0088,0.0247,-0.3984,0.6575,-1.6983,-0.0358,-0.0358,0.0393
1396949176849,0.0012,-0.0095,-0.0310,-0.4037,0.6570,-1.6969,0.0915,0.0915,0.0065
1396949176949,0.0137,-0.0030,0.0151,-0.4040,0.6604,-1.6999,-0.0295,-0.0295,-0.0634
1396949177048,0.0237,0.0184,-0.0103,-0.3998,0.6637,-1.7041,0.0694,0.0694,0.0014
1396949177147,0.0039,0.0063,0.0007,-0.3976,0.6650,-1.7020,0.0538,0.0538,0.0278
1396949177247,-0.0191,-0.0148,-0.0027,-0.3989,0.6656,-1.6981,-0.0254,-0.0254,-0.0066
1396949177346,0.0177,0.0029,0.0070,-0.3946,0.6657,-1.7021,-0.0207,-0.0207,-0.0176
1396949177446,0.0083,0.0078,0.0121,-0.3905,0.6694,-1.7025,0.0082,0.0082,0.0016
