timestamp(ms),label (0=start 1=end 2=cancel)
1396962384114,0
1396962384678,1
1396962388162,0
1396962388860,1
1396962390258,0
1396962390954,1
1396962391647,0
1396962392650,1
1396962414882,0
1396962415744,1
1396962422018,0
1396962422920,1
1396962424503,0
1396962425405,1
1396962427985,0
1396962428692,1
1396962437484,0
1396962438352,1
1396962440841,0
1396962441936,1
1396962460225,0
1396962460590,1
1396962460791,0
1396962461186,1
1396962463376,0
1396962463773,1
1396962463974,0
1396962464376,1
1396962465567,0
1396962465968,1
1396962471056,0
1396962471353,1
1396962471740,0
1396962472142,1
1396962472626,0
1396962473032,1
1396962473326,0
1396962473720,1
1396962474223,0
1396962474618,1
1396962474918,0
1396962475313,1
1396962479826,0
1396962480124,1
1396962481908,0
1396962482312,1
1396962493619,0
1396962494184,1
1396962495076,0
1396962495476,1
1396962495676,0
1396962496176,1
1396962496860,0
1396962497573,1
1396962497871,0
1396962498670,1
1396962502253,0
1396962502662,1
1396962502846,0
1396962503259,1
1396962518986,0
1396962519393,1
1396962519592,0
1396962520089,1
1396962525459,0
1396962525874,1
1396962526053,0
1396962526474,1
1396962526673,0
1396962527568,1
1396962527767,0
1396962528663,1
1396962528960,0
1396962529750,1
1396962529949,0
1396962530846,1
1396962531044,0
1396962531837,1
1396962534912,0
1396962536213,1
1396962540115,0
1396962540512,1
1396962543003,0
1396962543703,1
1396962543903,0
1396962544303,1
1396962585856,0
1396962586927,1
1396962587228,0
1396962588318,1
1396962588516,0
1396962589715,1
1396962590014,0
1396962590411,1
1396962590611,0
1396962591509,1
1396962610654,0
1396962611454,1
1396962626059,0
1396962626721,1
1396962629192,0
1396962629898,1
1396962630295,0
1396962630995,1
1396962638170,0
1396962640360,1
1396962640659,0
1396962641452,1
1396962641750,0
1396962642650,1
1396962646528,0
1396962649914,1
1396962650416,0
1396962651014,1
1396962651215,0
1396962652112,1
1396962652607,0
1396962654208,1
1396962692107,0
1396962694298,1
1396962694495,0
1396962694893,1
1396962695195,0
1396962695991,1
1396962702449,0
1396962703314,1
1396962716568,0
1396962717363,1
1396962717666,0
1396962718457,1
1396962730833,0
1396962731929,1
1396962732625,0
1396962733321,1
1396962733722,0
1396962734519,1
1396962734814,0
1396962735512,1
1396962736897,0
1396962737657,1
1396962737840,0
1396962738754,1
1396962739152,0
1396962739750,1
1396962740031,0
1396962740843,1
1396962741340,0
1396962741935,1
1396962749612,0
1396962749974,1
1396962750275,0
1396962753247,1
1396962753643,0
1396962755641,1
1396962775423,0
1396962775923,1
1396962777010,0
1396962777720,1
1396962782998,0
1396962783666,1
1396962813467,0
1396962813883,1
1396962819269,0
1396962820254,1
1396962846134,0
1396962848630,1
1396962852366,0
1396962853065,1
1396962856148,0
1396962856848,1
1396962866603,0
1396962867403,1
1396962868798,0
1396962869299,1
1396962874372,0
1396962877764,1
1396962888210,0
1396962892786,1
1396962893982,0
1396962898060,1
1396962916313,0
1396962916811,1
1396962918901,0
1396962919604,1
1396962930594,0
1396962931251,1
1396962932648,0
1396962933549,1
1396962934646,0
1396962935632,1
1396962936625,0
1396962937624,1
1396962940318,0
1396962941215,1
1396962942489,0
1396962943399,1
1396962943601,0
1396962944494,1
1396962944693,0
1396962945488,1
1396962953155,0
1396962953951,1
1396963059293,0
1396963060289,1
1396963060688,0
1396963062288,1
1396963062584,0
1396963063287,1
1396963063685,0
1396963065084,1
1396963106285,0
1396963107084,1
1396963108357,0
1396963109175,1
1396963109773,0
1396963111266,1
1396963113647,0
1396963114446,1
1396963114748,0
1396963115644,1
1396963115833,0
1396963116639,1
1396963117037,0
1396963118933,1
1396963126288,0
1396963134247,1
1396963181962,0
1396963183056,1
1396963190683,0
1396963191480,1
1396963192260,0
1396963193070,1
1396963194668,0
1396963195267,1
1396963195474,0
1396963196466,1
1396963253281,0
1396963253647,1
1396963271834,0
1396963272798,1
1396963494196,0
1396963494556,1
1396967068911,0
1396967070125,1
1396967071783,0
1396967072383,1
1396967074971,0
1396967075870,1
1396967113026,0
1396967113684,1
1396967133636,0
1396967134299,1
1396967184888,0
1396967185305,1
1396967241645,0
1396967242217,1
1396968771311,0
1396968771973,1
1396968836473,0
1396968837139,1
1396968839044,0
1396968839645,1
1396968841038,0
1396968841940,1
1396968845575,0
1396968846350,1
1396968849350,0
1396968851152,1
1396968889283,0
1396968889858,1
1396968890954,0
1396968891551,1
1396968892754,0
1396968893354,1
1396968894938,0
1396968895334,1
1396968896236,0
1396968896935,1
1396968898030,0
1396968898631,1
1396968899532,0
1396968900329,1
1396968917119,0
1396968917924,1
1396968921521,0
1396968922123,1
1396968923017,0
1396968923724,1
1396968924924,0
1396968925825,1
