,timestamp(ms),acceleration_x(g),acceleration_y(g),acceleration_z(g),roll(rad),pitch(rad),yaw(rad),angular_velocity_x(rad/sec),angular_velocity_y(rad/sec),angular_velocity_z(rad/sec),shake,derived1,derived2,derived8
567,1397019861659,0.4209,1.134,-1.089,0.4981,-1.0873,-2.1032,0.5334,0.5334,0.024,1.0,2.6439,1.6002,6.0709084772
568,1397019861758,-0.0235,-0.1774,0.4954,0.4352,-1.0613,-2.1381,0.0941,0.0941,-0.0282,1.0,0.6963,0.2823,4.29736226312
569,1397019861856,0.0791,-0.1872,0.0274,0.4439,-1.0545,-2.1345,0.0718,0.0718,0.0866,1.0,0.2937,0.2154,3.97141866635
570,1397019861954,0.2292,0.2411,0.2956,0.4531,-1.0531,-2.1013,-0.6097,-0.6097,0.2453,1.0,0.7659,1.8291,4.9489780672
571,1397019862053,-0.0387,0.1738,0.1188,0.5137,-1.0933,-2.0309,-0.2738,-0.2738,-0.0398,1.0,0.3313,0.8214,4.241202135
572,1397019862151,0.0015,-0.2638,0.2881,0.5288,-1.1162,-2.0135,-0.3619,-0.3619,0.0462,1.0,0.5534,1.0857,4.56301807429
573,1397019862250,0.0516,-0.0281,-0.209,0.5616,-1.1271,-1.9828,-0.0581,-0.0581,0.0722,1.0,0.2887,0.1743,3.99798209592
574,1397019862348,0.0101,0.0437,-0.1873,0.5408,-1.1206,-1.9882,0.2331,0.2331,-0.0569,1.0,0.2411,0.6993,4.17672317657
575,1397019862447,0.0078,-0.1021,-0.107,0.4724,-1.1,-2.035,0.3657,0.3657,-0.0673,1.0,0.2169,1.0971,4.27704052936
576,1397019862545,0.0503,0.0957,-0.1027,0.4194,-1.0797,-2.0723,0.1836,0.1836,-0.0655,1.0,0.2487,0.5508,3.98830077957
577,1397019862644,-0.0357,-0.1656,-0.0638,0.3648,-1.0571,-2.1157,0.3521,0.3521,-0.1412,1.0,0.2651,1.0563,4.23619743558
578,1397019862742,-0.0431,-0.2302,-0.0509,0.2968,-1.0159,-2.1765,0.564,0.564,-0.1885,1.0,0.3242,1.692,4.54845524827
579,1397019862840,0.0303,0.2181,-0.379,0.2466,-0.973,-2.2331,0.5589,0.5589,-0.2221,1.0,0.6274,1.6767,4.71203832876
580,1397019862939,0.0256,-0.0831,0.0624,0.2019,-0.9342,-2.2892,0.2019,0.2019,-0.2265,1.0,0.1711,0.6057,3.89678454768
581,1397019863038,0.0891,-0.1107,-0.0356,0.1978,-0.9351,-2.3177,-0.0549,-0.0549,-0.1013,1.0,0.2354,0.1647,3.72472572151
582,1397019863136,0.0555,-0.1107,-0.0556,0.2151,-0.9537,-2.3206,-0.1256,-0.1256,-0.0369,1.0,0.2218,0.3768,3.80656032848
583,1397019863234,0.1085,0.0986,-0.116,0.229,-0.9558,-2.3184,-0.0137,-0.0137,0.0355,1.0,0.3231,0.0411,3.73059267535
584,1397019863333,-0.0009,-0.3235,0.2509,0.2395,-0.9658,-2.3052,-0.2951,-0.2951,0.0942,1.0,0.5753,0.8853,4.34772819897
585,1397019863431,0.0204,-0.3386,0.1688,0.2909,-1.0087,-2.2534,-0.5666,-0.5666,0.2028,1.0,0.5278,1.6998,4.75845104781
586,1397019863529,0.24,0.5119,-0.6259,0.3768,-1.0618,-2.1668,-0.698,-0.698,0.2349,1.0,1.3778,2.094,5.46352599965
587,1397019863628,-0.1477,0.0262,-0.1088,0.4144,-1.0902,-2.1326,-0.159,-0.159,-0.1395,1.0,0.2827,0.477,4.08712548697
588,1397019863726,-0.0007,-0.4759,0.084,0.4342,-1.1137,-2.1099,-0.2345,-0.2345,-0.102,1.0,0.5606,0.7035,4.48802166659
589,1397019863825,0.0021,-0.2748,-0.1346,0.4502,-1.128,-2.0974,-0.0499,-0.0499,0.0014,1.0,0.4115,0.1497,4.05218413919
590,1397019863923,0.19,0.5687,-0.3413,0.4767,-1.1379,-2.0815,-0.1786,-0.1786,-0.0315,1.0,1.1,0.5358,4.64056663523
